Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Sandbox School Palos Heights,OPERATIONAL,"12832 South Ridgeland Avenue, Palos Heights",Price information not available,5,6,"['school', 'point_of_interest', 'establishment']",41.6582499,-87.777884
St Alexander Catholic School,OPERATIONAL,"7025 West 126th Street, Palos Heights",Price information not available,4,4,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6633964,-87.79485419999999
Ozinga Chapel,OPERATIONAL,"6601 West College Drive, Palos Heights",Price information not available,5,2,"['school', 'point_of_interest', 'establishment']",41.6692118,-87.7841871
Plutarchos Hellenic Language & Heritage Academy,OPERATIONAL,"12307 South Ridgeland Avenue, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6683481,-87.77687689999999
Jan Karski Polish School,OPERATIONAL,"7025 West 126th Street, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6622756,-87.7947678
Archangels Academy Preschool,OPERATIONAL,"12307 South Ridgeland Avenue, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6683841,-87.7769126
Palos Heights Piano,OPERATIONAL,"6425 West 126th Place #1759, Palos Heights",Price information not available,5,3,"['school', 'store', 'point_of_interest', 'establishment']",41.6620155,-87.7786526
Westgate Music School,OPERATIONAL,"6527 West 127th Street, Palos Heights",Price information not available,5,32,"['school', 'store', 'point_of_interest', 'establishment']",41.6603887,-87.78064169999999
Indian Hill Early Learning Center,OPERATIONAL,"12800 South Austin Avenue, Palos Heights",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6583782,-87.7687229
Chippewa School,OPERATIONAL,"12425 South Austin Avenue, Palos Heights",Price information not available,4.5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6655169,-87.7674928
Sandbox School Palos Heights,OPERATIONAL,"12832 South Ridgeland Avenue, Palos Heights",Price information not available,5,6,"['school', 'point_of_interest', 'establishment']",41.6582499,-87.777884
Plutarchos Hellenic Language & Heritage Academy,OPERATIONAL,"12307 South Ridgeland Avenue, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6683481,-87.77687689999999
Archangels Academy Preschool,OPERATIONAL,"12307 South Ridgeland Avenue, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6683841,-87.7769126
Shepard High School,OPERATIONAL,"13049 South Ridgeland Avenue, Palos Heights",Price information not available,4.6,23,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6550845,-87.7757889
Southwest Ice Arena,OPERATIONAL,"5505 West 127th Street, Crestwood",Price information not available,4.1,74,"['school', 'health', 'point_of_interest', 'establishment']",41.6601899,-87.75533449999999
Elim Christian Services,OPERATIONAL,"13020 Central Avenue, Crestwood",Price information not available,4.1,18,"['school', 'point_of_interest', 'establishment']",41.655166,-87.758338
CELTS Aquatic Health & Wellness,OPERATIONAL,"5445 West 127th Street, Crestwood",Price information not available,No rating,No ratings,"['school', 'health', 'point_of_interest', 'establishment']",41.660616,-87.7547287
Chippewa School,OPERATIONAL,"12425 South Austin Avenue, Palos Heights",Price information not available,4.5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6655169,-87.7674928
Indian Hill Early Learning Center,OPERATIONAL,"12800 South Austin Avenue, Palos Heights",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6583782,-87.7687229
Southwest Ice Arena,OPERATIONAL,"5505 West 127th Street, Crestwood",Price information not available,4.1,74,"['school', 'health', 'point_of_interest', 'establishment']",41.6601899,-87.75533449999999
CELTS Aquatic Health & Wellness,OPERATIONAL,"5445 West 127th Street, Crestwood",Price information not available,No rating,No ratings,"['school', 'health', 'point_of_interest', 'establishment']",41.660616,-87.7547287
Lane Elementary School,OPERATIONAL,"4600 West 123rd Street, Alsip",Price information not available,5,13,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6700501,-87.7338156
George Washington Elementary,OPERATIONAL,"12545 South Homan Avenue, Alsip",Price information not available,4,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.66396580000001,-87.702946
George Washington Elementary,OPERATIONAL,"12545 South Homan Avenue, Alsip",Price information not available,4,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.66396580000001,-87.702946
TLC Learning Center,OPERATIONAL,"2844 Burr Oak Avenue, Blue Island",Price information not available,3.7,19,"['school', 'point_of_interest', 'establishment']",41.6627348,-87.6917981
Dwight D Eisenhower High School,OPERATIONAL,"12700 Sacramento Avenue, Blue Island",Price information not available,2.9,27,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.661215,-87.6952439
TLC Learning Center,OPERATIONAL,"2844 Burr Oak Avenue, Blue Island",Price information not available,3.7,19,"['school', 'point_of_interest', 'establishment']",41.6627348,-87.6917981
Everett F Kerr Middle School,OPERATIONAL,"12915 Maple Avenue, Blue Island",Price information not available,4.4,7,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6585149,-87.6844121
Whittier School,OPERATIONAL,"13043 Maple Avenue, Blue Island",Price information not available,4.3,6,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6556883,-87.68432159999999
School District 130,OPERATIONAL,"12300 Greenwood Avenue, Blue Island",Price information not available,3.6,12,"['school', 'point_of_interest', 'establishment']",41.6697086,-87.6830422
Greenwood Public School,OPERATIONAL,"12418 Highland Avenue, Blue Island",Price information not available,No rating,No ratings,"['school', 'point_of_interest', 'establishment']",41.66743960000001,-87.6881658
Dwight D Eisenhower High School,OPERATIONAL,"12700 Sacramento Avenue, Blue Island",Price information not available,2.9,27,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.661215,-87.6952439
